"id","parent","value","color","share"
"Additive manufacturing","Digital transition",2,"blue",0.58
"Advanced Sustainable Materials","Green transition",123,"green",35.65
"Air & Water pollution reduction","Green transition",33,"green",9.57
"Artificial intelligence","Digital transition",7,"blue",2.03
"Augmented reality","Digital transition",13,"blue",3.77
"Autonomous robots","Digital transition",1,"blue",0.29
"Autonomous vehicles","Digital transition",1,"blue",0.29
"Batteries","Green transition",23,"green",6.67
"Biofuels","Green transition",5,"green",1.45
"Biotechnology","Green transition",15,"green",4.35
"Blockchain","Digital transition",4,"blue",1.16
"Cloud computing","Digital transition",6,"blue",1.74
"Cybersecurity","Digital transition",3,"blue",0.87
"Green buildings","Green transition",42,"green",12.17
"Hydrogen","Green transition",4,"green",1.16
"Internet of things","Digital transition",10,"blue",2.9
"Marine & hydro energy","Green transition",1,"green",0.29
"Nanotechnology","Digital transition",17,"blue",4.93
"Other energy storage","Green transition",5,"green",1.45
"Quantum computers","Digital transition",3,"blue",0.87
"Recycling technologies","Green transition",6,"green",1.74
"Solar energy","Green transition",10,"green",2.9
"Waste management","Green transition",10,"green",2.9
"Wind energy","Green transition",1,"green",0.29
